txn_id,date,account_id,counterparty,description,amount,currency
TXN-P4-0038,2025-01-22,ACC-7804,Kingsley Water Works Solutions (Taraz site),Telecom service credit received — Taraz site 2025,459637.57,USD
TXN-P5-0007,2025-01-22,ACC-7805,Bridgeport Janitorial Solutions (Ekibastuz block B),"Electricity metering correction credit — Taraz site, period 01",1571727.86,USD
TXN-9610-0047,2025-01-23,ACC-9610,Bridgeport Printing Holdings,"Printed marketing collateral run — Kyzylorda station, December",-5514208.43,USD
TXN-9907-0013,2025-01-24,ACC-9907,Ironwood Cleaning LLC (Aktobe hub),"Warehouse lease — Almaty office, January 2025",-6987306.79,USD
TXN-9240-0046,2025-01-25,ACC-9240,Ashford Logistics LP (Karaganda yard),"Utility deposit returned — Almaty office, H2",4176832.78,USD
TXN-9444-0019,2025-01-25,ACC-9444,Cedarville Catering Solutions Works (Ekibastuz block B),Marketing research panel subscription — period 01,-933636.05,USD
TXN-9782-0034,2025-01-25,ACC-9782,Bridgeport Realty Inc Works (Atyrau terminal),Customer newsletter marketing production — October 2025,-1271422.94,USD
TXN-9906-0041,2025-01-25,ACC-9906,Bridgeport Waste Systems Ltd (Karaganda yard),"Printed marketing collateral run — Semey base, August 2025",-4298505.02,USD
TXN-P9-0015,2025-01-25,ACC-7809,Cedarville Janitorial Holdings Group,VAT instalment — Uralsk annex 2025,-2357671.23,USD
TXN-9005-0035,2025-01-26,ACC-9005,Bridgeport Security Associates,"Payroll for laboratory staff — Zhezkazgan compound, July",-5492916.62,USD
TXN-9912-0023,2025-01-26,ACC-9912,Summit Telecom Group,"Marketing overbilling refund — Atyrau terminal, July",8631138.96,USD
TXN-B1-0046,2025-01-26,ACC-7201,Hartley Landscaping Ltd JSC (Pavlodar block),"Vehicle livery marketing application — Pavlodar block, September",-462598.24,USD
TXN-P4-0029,2025-01-26,ACC-7804,Glenwood Uniforms Group (Kostanay centre),Depot yard rent — July 2025,-2540625.50,USD
TXN-9865-0047,2025-01-27,ACC-9865,Dunmore Catering Holdings (Kostanay centre),Tax audit assessment payment — Almaty office 2025,-345765.41,USD
TXN-9208-0028,2025-01-28,ACC-9208,Harborview Properties (Atyrau terminal),Marketing photography and artwork — Uralsk annex 2025,-425687.01,USD
TXN-9238-0033,2025-01-28,ACC-9238,Crown City Water Board Works,Rent overpayment refunded — February 2025,1756400.84,USD
TXN-9620-0039,2025-01-28,ACC-9620,Glenwood Tax Advisory Co Partners,"Broadband telecom invoice — Oskemen unit, September",-1636640.89,USD
TXN-9903-0018,2025-01-28,ACC-9903,Dunmore Supply Co,"Hourly staff payroll — Atyrau terminal, June",-3709900.34,USD
TXN-B1-0049,2025-01-28,ACC-7201,Glenwood Telecom Corp (Kyzylorda station),Marine cargo insurance premium — Aktobe hub,-6840662.36,USD
TXN-P1-0037,2025-01-28,ACC-7801,Ashford Property Co (Taraz site),"Interest on trade facility — Atyrau terminal, November 2025",-6453942.70,USD
TXN-P6-0045,2025-01-28,ACC-7806,Kingsley Water Works Solutions,Business interruption insurance,-466225.78,USD
TXN-9038-0018,2025-01-29,ACC-9038,Dunmore Security Solutions Works,Property tax rebate — Semey base,552124.43,USD
TXN-9469-0029,2025-01-29,ACC-9469,Glenwood Water Works LLC,"Water and sewer charge — Taraz site, October 2025",-496768.66,USD
TXN-B1-0054,2025-01-29,ACC-7201,Hartley Catering LP Supply,Environmental liability insurance — Pavlodar block,-1099515.55,USD
TXN-P1-0026,2025-01-29,ACC-7801,Foxridge Stationery (Zhezkazgan compound),Standby generator electricity — Pavlodar block,-1585834.81,USD
TXN-P10-0038,2025-01-29,ACC-7810,Cedarville Printing Services (Ekibastuz block B),"Interest on bridge facility — Oskemen unit, Q4 2025",-1214344.92,USD
TXN-P2-0019,2025-01-30,ACC-7802,Eastgate Office Supplies Solutions,"Overdraft interest — Kyzylorda station, September 2025",-1143345.59,USD
TXN-9973-0037,2025-01-31,ACC-9973,Dunmore Stationery Inc,Water and sewer charge — H1,-16664128.60,USD
TXN-B1-0015,2025-01-31,ACC-7201,Bridgeport Office Supplies LLP (Semey base),Motor third-party insurance — February,-6029826.75,USD
TXN-P3-0045,2025-01-31,ACC-7803,Cedarville Leasing (Karaganda yard),Utility metering charge — Oskemen unit,-5075771.04,USD
TXN-9156-0018,2025-02-01,ACC-9156,Juniper Payroll Associates (Almaty office),"Marketing volume rebate — Semey base, March",7390662.21,USD
TXN-9909-0004,2025-02-01,ACC-9909,Cedarville Utility Ltd Partners,VAT refund received — Turkistan point 2025,3145085.95,USD
TXN-9509-0040,2025-02-02,ACC-9509,Foxridge Security Services Partners,Vehicle livery marketing application — H1 2025,-9909526.12,USD
TXN-9510-0016,2025-02-02,ACC-9510,Hartley Courier Corp LLP,"Withholding tax reclaim received — Almaty office, period 02 2025",7930435.76,USD
TXN-P4-0031,2025-02-02,ACC-7804,Eastgate Office Supplies Solutions Partners,Marketing research panel subscription — period 04 2025,-716503.49,USD
TXN-P6-0033,2025-02-02,ACC-7806,Foxridge Property Associates,"Insurance premium refund — Taraz site, instalment 2",6005234.90,USD
TXN-P8-0004,2025-02-02,ACC-7808,Trident Power Cooperative (Uralsk annex),"Telecom services — Zhezkazgan compound, Q3",-520395.97,USD
TXN-P9-0023,2025-02-02,ACC-7809,Ironwood Cleaning LLC Works (Karaganda yard),"Travel insurance for staff — Turkistan point, instalment 3",-7888458.51,USD
TXN-9834-0042,2025-02-03,ACC-9834,Foxridge Janitorial Group,Land tax instalment — Q3 2025,-6668414.84,USD
TXN-9956-0041,2025-02-03,ACC-9956,Foxridge Water Works Inc Holding (Almaty office),Electricity bill — Zhezkazgan compound 2025,-256625.02,USD
TXN-P7-0009,2025-02-03,ACC-7807,Juniper Building Services Partners (Kyzylorda station),Interest on escrow balance — period 03 2025,10314274.31,USD
TXN-9237-0040,2025-02-04,ACC-9237,Foxridge Supply Inc Works,Land tax instalment 2025,-552269.36,USD
TXN-9499-0016,2025-02-04,ACC-9499,Ironwood Landscaping Inc Partners,Product launch ad campaign — Shymkent depot,-251925.39,EUR
TXN-P6-0009,2025-02-04,ACC-7806,Cascade Water Utility Works (Pavlodar block),Fidelity bond insurance — Karaganda yard,-667823.42,USD
TXN-9899-0004,2025-02-05,ACC-9899,Hartley Power Associates (Shymkent depot),Rent free period credit — Astana branch 2025,878345.74,USD
TXN-P3-0032,2025-02-05,ACC-7803,Eastgate Courier Partners (Atyrau terminal),Storage unit rent — Atyrau terminal 2025,-2846486.78,USD
TXN-9237-0010,2025-02-06,ACC-9237,Glenwood Tax Advisory Co Company (Kostanay centre),"District heating utility charge — Astana branch, Q4",-7417621.43,USD
TXN-9426-0007,2025-02-06,ACC-9426,Juniper Uniforms Co Partners,"Lease incentive received — Astana branch, September 2025",118056.57,USD
TXN-9512-0049,2025-02-06,ACC-9512,Juniper Power Solutions (Oskemen unit),Vehicle tax payment — Atyrau terminal 2025,-10289169.87,USD
TXN-9565-0014,2025-02-06,ACC-9565,Juniper Building Services Partners,Water and sewer charge 2025,-1370437.70,USD
TXN-9644-0035,2025-02-06,ACC-9644,Dunmore Stationery Inc Enterprise,"Rent for spare parts store — Oskemen unit, H2 2025",-856782.94,USD
TXN-P10-0030,2025-02-06,ACC-7810,Hartley Supply Works,Overdraft interest — July 2025,-1587631.97,USD
TXN-P10-0060,2025-02-06,ACC-7810,Summit Telecom Group (Kostanay centre),Interest income on treasury bills — period 04 2025,625992.10,USD
TXN-P8-0005,2025-02-06,ACC-7808,Kyzylorda Drilling Personnel LLP,Field crew payroll disbursement 2025,-2418663.27,USD
TXN-9190-0028,2025-02-07,ACC-9190,Bridgeport Power Corp (Ekibastuz block B),"Payroll top-up transfer — Turkistan point, April 2025",-212215.25,USD
TXN-P3-0040,2025-02-07,ACC-7803,Eastgate Courier Partners Enterprise,"Payroll top-up transfer — Shymkent depot, October",-366905.32,USD
TXN-9055-0045,2025-02-08,ACC-9055,Glenwood Landscaping Co,"Corporate income tax instalment — Atyrau terminal, February 2025",-5320806.14,USD
TXN-P10-0023,2025-02-08,ACC-7810,Bridgeport Waste Systems Ltd (Oskemen unit),"Marketing translation and localisation — Astana branch, Q4",-268827.27,USD
TXN-P4-0030,2025-02-08,ACC-7804,Bridgeport Utility Co,"Land tax instalment — Almaty office, H1 2025",-258858.22,USD
TXN-P6-0013,2025-02-08,ACC-7806,Glenwood Waste Systems Trust (Kyzylorda station),Motor third-party insurance — Q4,-373627.82,USD
TXN-P6-0052,2025-02-08,ACC-7806,Hartley Maintenance Partners,"Rent for archive premises — Karaganda yard, June",-6295425.94,USD
TXN-9390-0027,2025-02-09,ACC-9390,Ironwood Realty Services Group (Zhezkazgan compound),Severance payroll batch — H1,-3144366.21,USD
TXN-9482-0042,2025-02-09,ACC-9482,Cedarville Uniforms Solutions (Oskemen unit),"Customs duty and tax payment — Semey base, Q1 2025",-14194834.98,USD
TXN-P9-0022,2025-02-09,ACC-7809,Bridgeport Realty Inc Group (Karaganda yard),Business interruption insurance — instalment 3,-7594649.55,USD
TXN-9766-0012,2025-02-10,ACC-9766,Bridgeport Property Ltd (Uralsk annex),"Quarterly interest coupon — Zhezkazgan compound, October",-3208994.66,USD
TXN-P5-0046,2025-02-10,ACC-7805,Ashford Tax Advisory Holdings Company,Vehicle livery marketing application — Taraz site 2025,-9119061.31,USD
TXN-9090-0046,2025-02-11,ACC-9090,Ashford Catering Associates,"Tax penalty settlement charge — Uralsk annex, March 2025",-3042753.45,USD
TXN-9115-0003,2025-02-11,ACC-9115,Lakeshore Insurance Brokers (Astana branch),Marketing research panel subscription — period 04 2025,-882369.88,USD
TXN-9208-0044,2025-02-11,ACC-9208,Dunmore Stationery Inc (Kyzylorda station),"Sewer discharge levy — Oskemen unit, H2 2025",-173303.94,USD
TXN-9239-0048,2025-02-11,ACC-9239,Juniper Security Corp LLP (Kostanay centre),Excise tax credit received — Astana branch,2140166.71,USD
TXN-9978-0003,2025-02-11,ACC-9978,Riverside Realty Trust Supply,Auto fleet insurance — Atyrau terminal,-503174.87,USD
TXN-P2-0030,2025-02-11,ACC-7802,Dunmore Uniforms Holdings,Office rent — period 02,-1054367.22,USD
TXN-P4-0039,2025-02-11,ACC-7804,Glenwood Water Works LLC (Atyrau terminal),Interest on escrow balance 2025,2013671.07,USD
TXN-P5-0016,2025-02-11,ACC-7805,Ural Turbine Works LLP,Purchase of switchyard equipment,-1703882.44,USD
TXN-P6-0023,2025-02-11,ACC-7806,Foxridge Insurance Co (Zhezkazgan compound),"Customs duty and tax payment — Atyrau terminal, September",-4274468.38,USD
TXN-9109-0002,2025-02-12,ACC-9109,Juniper Tax Advisory LLC (Turkistan point),Customer newsletter marketing production — period 01,-1527956.04,USD
TXN-9247-0015,2025-02-12,ACC-9247,Eastgate Catering Services (Ekibastuz block B),Marketing agency credit note — Zhezkazgan compound,3125562.27,USD
TXN-9692-0037,2025-02-12,ACC-9692,Glenwood Realty Solutions,Marketing research panel subscription — period 04 2025,-12149962.77,USD
TXN-9862-0032,2025-02-12,ACC-9862,Hartley Landscaping Ltd (Semey base),Water charge adjustment credit — Kostanay centre,110445.26,USD
TXN-P10-0053,2025-02-12,ACC-7810,Juniper Landscaping LLC (Zhezkazgan compound),Overdraft interest — December 2025,-2801359.37,USD
TXN-P2-0008,2025-02-12,ACC-7802,Bridgeport Tax Advisory Services Supply,Customer newsletter marketing production — Zhezkazgan compound 2025,-302754.71,EUR
TXN-9009-0023,2025-02-13,ACC-9009,Eastgate Utility LLC Enterprise (Pavlodar block),"Interest on trade facility — Kostanay centre, instalment 1 2025",-1445934.35,USD
TXN-9032-0006,2025-02-13,ACC-9032,Ashford Insurance Services JSC,Electricity overbilling refund — period 04,810959.81,USD
TXN-9396-0015,2025-02-13,ACC-9396,Cedarville Catering Solutions Ltd (Zhezkazgan compound),Land tax instalment — period 01,-870820.19,USD
TXN-9556-0036,2025-02-13,ACC-9556,Glenwood Waste Systems Trust Trading House,Rent for archive premises — period 01,-495120.50,USD
TXN-9626-0019,2025-02-13,ACC-9626,Hartley Consulting LLC LLP (Astana branch),Social tax remittance — January,-460137.76,USD
TXN-9813-0008,2025-02-13,ACC-9813,Juniper Tax Advisory LLC,Electricity metering correction credit — Q4,1086257.04,USD
TXN-B1-0042,2025-02-13,ACC-7201,Kingsley Power Holdings,Industry exhibition stand marketing — period 03 2025,-221738.10,USD
TXN-9293-0031,2025-02-14,ACC-9293,Eastgate Waste Systems (Astana branch),Fidelity bond insurance — August,-425151.31,USD
TXN-9445-0026,2025-02-14,ACC-9445,Hartley Janitorial Corp Holding,Motor third-party insurance — February,-1451014.62,USD
TXN-P5-0051,2025-02-14,ACC-7805,Eastgate Facilities Trust (Taraz site),Interest on subordinated notes — Semey base,-1072861.80,USD
TXN-P6-0036,2025-02-14,ACC-7806,Hartley Printing Co,Vehicle tax payment — November,-1119866.56,USD
TXN-P9-0021,2025-02-14,ACC-7809,Bridgeport Uniforms Trust Works,"Rent for spare parts store — Ekibastuz block B, May",-673095.49,USD
TXN-9224-0014,2025-02-15,ACC-9224,Foxridge Courier Group Group (Oskemen unit),Printed marketing collateral run — period 04,-470027.55,USD
TXN-9598-0020,2025-02-15,ACC-9598,Dunmore Consulting Corp (Zhezkazgan compound),"Interest on bilateral facility — Kyzylorda station, H1",-1293946.99,USD
TXN-9898-0022,2025-02-15,ACC-9898,Ironwood Facilities Partners (Karaganda yard),Water charge adjustment credit — Pavlodar block 2025,8745309.34,USD
TXN-B1-0031,2025-02-15,ACC-7201,Juniper Payroll Associates (Shymkent depot),Social tax remittance — Pavlodar block,-1463827.85,USD
TXN-P8-0024,2025-02-15,ACC-7808,Granger Utilities Holding,District heating utility charge 2025,-5908411.58,USD
TXN-9046-0039,2025-02-16,ACC-9046,Cedarville Printing Services Ltd,"Retail unit rent — Zhezkazgan compound, January",-9021349.25,USD
TXN-9500-0043,2025-02-16,ACC-9500,Hartley Tax Advisory Ltd (Taraz site),Outdoor marketing site hire — H1,-1548506.50,USD
TXN-9952-0039,2025-02-16,ACC-9952,Glenwood Courier LP (Semey base),Quarterly interest coupon — Kostanay centre,-12951353.47,USD
TXN-P10-0013,2025-02-16,ACC-7810,Ironwood Stationery Solutions JSC (Kyzylorda station),Corporate brand marketing programme — Turkistan point 2025,-3277880.53,USD
TXN-P2-0037,2025-02-16,ACC-7802,Trident Power Cooperative (Taraz site),"VAT refund received — Turkistan point, April",5814535.19,USD
TXN-P3-0007,2025-02-16,ACC-7803,Eastgate Utility LLC (Semey base),Warehouse contents insurance — Atyrau terminal 2025,-3024115.38,USD
TXN-9823-0026,2025-02-17,ACC-9823,Dunmore Insurance LP (Kostanay centre),Group insurance experience refund — April,739794.59,USD
TXN-P10-0011,2025-02-17,ACC-7810,Eurasia Insurance Company JSC,Property insurance premium 2025,-248663.19,USD
TXN-P7-0024,2025-02-17,ACC-7807,Kingsley Power Holdings (Pavlodar block),Unused ad campaign budget returned — instalment 1,7470397.90,USD
TXN-P9-0039,2025-02-17,ACC-7809,Eastgate Stationery LLC (Karaganda yard),Capitalised interest charge — Q4 2025,-437402.03,USD
TXN-P9-0049,2025-02-17,ACC-7809,Foxridge Maintenance Holdings (Atyrau terminal),"Parking garage lease — Turkistan point, April 2025",-4128626.07,USD
TXN-9013-0039,2025-02-18,ACC-9013,Glenwood Supply LLC (Turkistan point),"Environmental liability insurance — Pavlodar block, period 03 2025",-413953.56,USD
TXN-9154-0005,2025-02-18,ACC-9154,Ironwood Realty Services JSC,"Telecom services — Turkistan point, May",-2007292.60,USD
TXN-9346-0033,2025-02-18,ACC-9346,Ashford Property Co (Astana branch),Rent for spare parts store — Zhezkazgan compound 2025,-1454735.31,USD
TXN-P1-0041,2025-02-18,ACC-7801,Hartley Catering LP (Kostanay centre),"Electricity network capacity charge — Uralsk annex, instalment 3",-315103.30,USD
TXN-9927-0015,2025-02-19,ACC-9927,Cedarville Supply Corp (Semey base),"Motor third-party insurance — Uralsk annex, June 2025",-881256.63,USD
TXN-B1-0022,2025-02-19,ACC-7201,Foxridge Facilities Solutions,"Unused ad campaign budget returned — Astana branch, April 2025",832732.80,USD
